game_name,box_txt,game_tag,game_intro
奇异人生：暴风前夕,开发：Square Enix | 网络：单机 | 类型：冒险游戏,"3D,美少女,奇幻,高画质",《奇异人生：暴风前夕》的主人公是一位16岁的叛逆少女歌露儿·普莱斯，她与命中注定会取得成功的女孩－美丽且受欢迎的瑞秋·安布尔结成了一段不可思议的友谊。当瑞秋的世界由于家庭秘密而天翻地覆时，是她们新建立的情谊给了彼此战胜困难的力量。 【游戏特色】• 选择与后果导向型叙事冒险游戏• 多结局模式，最终结局取决于您的选择• “顶嘴”－风险伴随奖励的对话模式，歌露儿可以用自己的尖牙利嘴来进行挑衅或自行其是• 用巧妙的涂鸦在世界上画出属于自己的记号• 给歌露儿选择不同的服装，并观察人们对你着装的反应• 别具一格的授权独立配乐
仙境传说RO：守护永恒的爱,开发：心动游戏 | 网络：网游 | 类型：角色扮演,"3D,二次元",《仙境传说RO：守护永恒的爱》是一款由心动游戏开发的大型MMORPG手游，游戏完美继承了RO标志性的卡通风格及其独有的转职、卡牌、换装等玩法，相信玩家会在这里找回原初最纯粹的感动。
拯救喵星人,开发：Fastone Games | 网络：单机 | 类型：益智解谜,"萌物,汉化",在本游戏中你需要解决物理难题，帮助一只被遗弃的猫！一只小猫被遗弃在公园里。它必须面对充满挑战的世界。去寻找回家的路，为了帮助小猫找到水或食物，绘制一个形状然后巧妙地利用地形和关卡内的互动场景。别忘了赶走坏狗狗，你画的任何形状都可以帮助小猫度过艰难的一天。随着关卡的深入，您将解锁不同的环境和更有趣的道具。基本的物理知识和创造力将成为通过大多数关卡的关键，同时你也将了解小猫的故事，更加爱上这只善良的猫咪。【关于汉化】本作为汉化版，感谢十八汉化组的辛勤劳动！微信公号：hanhuazu18官方QQ群：460531700
双生视界,开发：少女咖啡枪2制作组 | 网络：网游 | 类型：角色扮演,"美少女,二次元,国产,科幻",西山居xbilibili深度合作——沉浸式少女养成弹幕射击手游《双生视界》登场！游戏讲述了由“源力”引发的灾难“大爆发”之后的故事。“你”既是运筹帷幄的指挥官，直面激爽TPS战斗，体验弹幕射击玩法；亦是善于经营的咖啡馆店长，在解锁少女们专属羁绊的日常中，感受精美灵动的Live2D互动。命运的蝴蝶已扇动翅膀，少女们的未来又将前往何方？使命只有一个——以手中之枪，逆转世界终结！【游戏特色】1.「领先Live2D技术」拟真互动•记录心动瞬间每个少女平均拥有30个Live2D动作，80句以上的语音，为你逐帧呈现顺滑立体的真实互动。每日清晨的温柔问候，战斗之前的别扭关怀，亲密互动的羞涩脸红，失落时刻的无助眼泪……日常生活中少女们的精彩点滴，全程都将通过精致的Live2D还原。你与她的每一个心动瞬间，必须完美呈现！2.「小队制3D弹幕射击」策略搭配•突破枪林弹雨3D无死角弹幕关卡，配合三人小队制的设计，带来了高燃的弹幕射击战斗体验。战斗同时兼顾即时操作与策略搭配，多维度关卡类型覆盖竞争型、养成型、速通型等，满足不同类型玩家的游戏体验！而效果华丽丰富的战斗画面，数量充实的战斗语音，多种战斗节奏与关卡类型的有机搭配，则避免了战斗的单调重复。更有魅力各异的人形BOSS、巨型敌人加入战场，为你带来魄力十足的视觉冲击。3.「场景DIY系统」自由经营•打造个性咖啡馆你的另一重身份，是一家咖啡馆的店长。高度自由的咖啡馆DIY系统，允许你自定义改变包括地表环境在内的全场景物件。只要你愿意，咖啡馆可以摇身一变女仆咖啡馆。随着时间的流逝，场景的光效也将随之变化。更有多种风格的特色物件，为你不断营造不重样的新鲜感。除了咖啡馆，少女们的宿舍风貌也将完全由玩家一手决定。模拟经营玩法以及灵动俏皮的少女动作表现，让战场外的点滴生活也充满了欢乐与惬意。4.「虚拟社交玩法」好感养成•加深命运羁绊为丰富角色羁绊系统，进一步提升养成乐趣，好感度的培养除了摸头、送礼、特训等互动，更有朋友圈与私信等虚拟社交玩法。好感度的提升将解锁更多剧情，揭开少女们包括性格特征、同伴关系、个人经历、参战动机等在内的，那些深藏心底的秘密。5.「宏大剧情设定」庞大世界观•构筑动画级演出超百万字的剧情文本、5000句以上的台词、超过60小时的全语音剧情、多角度的叙事方式构建了一个充实的游戏世界。更有主角与BOSS及各阵营人物之间不为人知的过往与纠葛，为这个被“大爆发”洗礼的未来世界增添了种种悬念。这个世界的真相，由你亲自一探究竟。6.「豪华声优献声」全语音剧情•打造沉浸式体验南条爱乃、堀江由衣、钉宫理惠、能登麻美子、田村由加莉、茅原实里、佐仓绫音、植田佳奈、泽城美雪、茅野爱衣、米泽圆、井口裕香等超人气声优将为你带来全角色、全方位的听觉盛宴，佐以百万字剧情文本的豪华香料，打造一本满足的沉浸式互动体验！还有南条爱乃倾情献唱游戏主题曲，战歌起，颜表立。守护少女们的笑容，一起谱写末日危机之后的美好未来吧！【官方网站】https://game.bilibili.com/sssj/
龙之谷手游,开发：盛趣游戏、欢乐互娱 | 网络：网游 | 类型：角色扮演,3D,《龙之谷手游》是一款原汁原味还原经典端游IP的3D动作冒险手游，3D无锁定带来爽快打击手感，多人实时合作副本、公平数值竞技等特色玩法带来更多操作乐趣，更有多种休闲玩法、百变时装，满足你的个性游戏体验。 【游戏特色】——原味经典还原重历阿尔特里亚：还原继承了端游庞大的世界观和深厚的历史，经典的世界观、人物、剧情都会得到完美继承和精彩重塑，这一次，阿尔特里亚大陆由你守护。——3D无锁定，畅爽打击：3D无锁定战斗视角，操作、多种技能任意衔接组合，华丽连招，给你最畅爽的战斗体验。——组队BOSS，合作不翻车：地狱犬、狮蝎、龙本，组队BOSS等你来战，叫上你的好G友，默契配合，打败机制丰富的BOSS吧。——酷炫时装，个性搭配：海龙套、熔岩套、水手套……经典套装应有尽有，风格各异的时装，张扬随性的搭配，将引领你走向时尚巅峰，带给你全新的视觉享受。——公平竞技，天梯对决：实时天梯PVP，实力说话，操作为王，用你的技术秀翻对手，登顶天梯。
荒野行动,开发：网易 | 网络：网游 | 类型：射击,,《荒野行动》是一款网易在全球大逃杀类游戏移动化的趋势之下，重点布局的一款以第一人称视觉射击玩法为主的枪战题材类RPG动作手游，主打“超大地图真实还原荒野大世界”和“多样操作模式还原真实射击体验”玩法。游戏在地图场景上着力打造3D荒野大世界，地形分布、路线设置上都投映真实世界还原打造，单局支持100人开局，力求营造最真实的逃杀生存体验，复杂的地形为玩家部署战略提供了无限可能。游戏在操作模式方面优化以往设计，左右手点触均可射击，并且加入了陀螺仪等进行辅助瞄准，允许玩家可以根据自己擅长的方式来体验游戏。同时在枪械和部件方面，可依据玩家习惯自由搭配升级，使得游戏角色具有更高的成长性与自由度。《荒野行动》除了单人模式外，还提供了双人和四人组队模式，同时允许玩家在线语音交流，充分满足玩家的社交体验。不仅为游戏战术套路提供了更多的可能，也为玩家带来了更多的乐趣。【官方网站】http://hy.163.com/
Naboki,开发：Rainbow Train | 网络：单机 | 类型：益智解谜,,《NABOKI》是一个超简洁超迷你但是超有意思的益智游戏！没有教程，没有分数，没有文字一切凭直觉——这是极其优秀的游戏设计，而且事实证明，它是成功的简单、复杂，混乱又井井有条
1比特的冒险,开发：Galactic Slice | 网络：单机 | 类型：冒险,"像素,奇幻,回合制,Roguelike",《1比特的冒险》是一款充满动作感的复古“roguelike”游戏，您需要探索这个世界——战斗、升级、探索。 在《1比特的冒险》中的主要重点是生存。您会遇到多种类型的敌人，您将必须使用所有技能来阻止它们。【多个角色职业】在《1比特的冒险》中，您可以成为战士，血骑士，巫师，死灵法师和火法师。每个角色都有其独特的游戏风格，属性，能力和弱点。您将需要尽一切力量来发展自己的属性，成为最强勇者！【游戏玩法】通过使用屏幕右下角的箭头移动角色。撞到敌人并不断朝那个方向进攻。您还可以购买硬币来储备治疗物品，并探索充满美味战利品和地牢的世界。【升级】由于《1比特的冒险》是RPG为核心的动作冒险，因此每次消灭敌人都会获得经验。屏幕的左下角会显示生命，如果生命归0，则游戏结束。一旦达到新的关卡，您将获得可用于独特技能的技能点。对于每个角色职业而言，这些都有所不同，其中某些职业会增加魔法能力，而其他职业会增加暴击几率。【管理您的库存】玩《1比特的冒险》时，您将在旅途中获得各种物品。库存中说明了每件商品的功能。有些物品可以恢复生命值，有些则可以恢复法力值或暂时提升你的生命值。如果您发现自己的生命或法力低下，可以在任何给定时间停下来，并来这里补充能量。在这个基于像素的回合制Rogue-like游戏中，敌人随着您的移动而移动。如果您喜欢RPG，并且想在移动设备上玩有趣的RPG，那么您应该立即下载《1比特的冒险》。 远离屏幕底部，不断前进，展开惊奇的冒险。【游戏特色】沉浸式世界众多职业可供选择提高角色技能Rogue-like回合制RPG
旁观者,开发：Creative Mobile | 网络：单机 | 类型：冒险,,《旁观者》是Warm Lamp Games制作的一款冒险解谜独立游戏。玩家将会在本作中体验到非常好玩且另类的趣味性。游戏中玩家将要扮演一名不和谐的房东，通过各种各样的手段监视住户的房间，想方设法探寻住户房间中的秘密。当然，游戏的决定权摘你的手中，你将决定每一位住户的后续动向。这是一个唯权主义的国家，因为某些原因你被指定伪装成一个地主的身份，手上拥有着一栋公寓。你被注射了一种实验性的药物，这种药物可以抑制你的睡眠需求，所以你必须24小时不间断的监视房客，窥视、窃听和剖析他们的一举一动！如果有任何可疑的地方你都需要像上面禀报，找出潜在的国家威胁分子，这是你的职责，不过你会这样做吗。
狂野飙车8：极速凌云,开发：Gameloft | 网络：单机 | 类型：赛车竞速,"重力感应,3D",【安卓版注意事项】游戏需要使用代理下载1.2G左右的数据，请保持网络畅通。【游戏介绍】《狂野飙车8：极速凌云》是Gameloft出品、万盛和泰代理的赛车竞速游戏。游戏中包含了51辆赛车，其中80%为新车型。8大赛季，180场的生涯模式比赛。全新的异国赛道，9种不同环境设定，包括威尼斯、法属圭亚那、冰岛以及内华达州沙漠在内的极具异域风情的刺激赛道。
杀出重围GO,开发：Square Enix | 网络：单机 | 类型：策略,"3D,硬件杀手",《杀出重围GO》是一款由Square Enix开发的策略游戏。《杀出重围GO》背景设定与《杀出重围：人类分裂》的风格大致相同。身为双面间谍的Adam Jensen必须利用黑客、战斗和强化等手段来解决整个“GO”系列中最富有挑战性的谜题。玩家还需要与TF29和主宰集团的盟友合作，潜入多个地点查明恐怖分子活动背后的阴谋。另外，游戏可以让玩家自行设计关卡。
权利奔跑者,开发：UNICEFLAC | 网络：单机 | 类型：跑酷,横版卷轴,《权利奔跑者》是一款自由的超高的趣味休闲游戏，在这款游戏中玩家可以尽情的感受不同的趣味玩法，体验最自由的冒险乐趣，多种不同的游戏模式，玩家可以进行选择，感受游戏带来的乐趣，在游戏中结识游戏伙伴一起尽情的玩耍，享受没有约束的快感，还等什么赶快点击下载试试吧！
这是警察,开发：HandyGames | 网络：单机 | 类型：策略经营,模拟,《这是警察》是由Weappy Studio制作，HandyGames发行的一款模拟经营游戏，讲述的是Jack Boyd警长在Freeburg城市工作了数年，有一天却突然收到市长的来信，告知警长已经被解雇，他只剩下180天的掌管权。而玩家的目标，就是在这180内挣到50万美金。
旅行青蛙,"开发：Hit-Point Co., Ltd. | 网络：单机 | 类型：益智休闲","放置,汉化","《旅行青蛙》是由Hit-Point Co., Ltd.出品的一款益智休闲游戏，主角是一只大眼睛无口的小青蛙，小青蛙独自居住在一个石头洞的小屋里，屋外头种着一片幸运草，屋里则是木头做的小阁楼。小青蛙平时就会在这里吃饭，在阁楼上的被窝看书，过着十分“居士”的生活。当然，它最大的爱好，就是出去旅行，世界这么大，小青蛙也想出去看看。放下一切琐事，小青蛙背起简单的行囊，带上它的荷叶小帽子出发了。【关于汉化】本作为汉化版，感谢手谈汉化组的辛勤劳动！手谈汉化组微信公众号：shoutanhanhua。技术：手谈叶翻译：竜巫女、熊测试：手谈汪、大污喵吉祥物：给自己的青蛙取名叫”生命“的手谈姬"
明日方舟,开发：上海鹰角网络科技有限公司 | 网络：网游 | 类型：策略,"美少女,科幻,二次元,国产",起因不明并四处肆虐的天灾，席卷过的土地上出现了大量的神秘矿物——被人们称为“源石”。虽然源石的发现历史已久，但是依赖于技术的进步，其蕴含的能量使得文明顺利迈入现代，但与此同时，源石本身也催生出“感染者”的存在。身俱力量与不幸的存在，如今他们中的一部分，妄图与源石整合为一，为大地带来新的秩序。这场战火阴谋是我们对抗天灾遇到的新的阻碍。你将作为罗德岛的一员，与罗德岛公开领导人阿米娅一同，雇佣人员频繁进入天灾影响后的高危地区，救助受难人群，处理矿石争端，以及对抗整合运动——“罗德岛”的战术头脑，你准备好了吗？【联系方式】明日方舟官方19群 828825343明日方舟官方20群 830607983官方微博地址 http://weibo.com/arknights官方微信号 明日方舟Arknights官方网站：http://www.arknights.com/
死亡效应2,开发：Bulkypix | 网络：单机 | 类型：射击,"惊悚恐怖,3D,高画质,科幻,汉化",《死亡效应2》是一款由Bulkypix开发商推出的科幻加丧尸题材的第一人称射击游戏。游戏将背景设定在遥远的未来，人类登陆了星球 ESS Meridian，上面依旧有一群数量庞大的丧尸在等着你。不过这次除了丧尸之外，半机械人、神秘无人机等新元素将加入敌军阵营，你将与各式各样的对手短兵相接，枪、剑、忍者镖，各种炫酷武器皆可用来对付他们。【关于汉化】本作为汉化版，感谢十八汉化组的辛勤劳动！微信公号：hanhuazu18官方QQ群：460531700
Grimvalor,开发：Direlight Oy | 网络：单机 | 类型：动作,"横版卷轴,奇幻,高画质",在这场冒险中，击败King Valor的可怕守护者！在被遗忘的Vallaris王国中，恶意的力量激起了人们。在发现失去的国王的命运的任务中，你的任务很快就会发生恶劣的转变，你就会陷入黑暗中。寡不敌众，你必须抓住你的剑，在不欢迎你的土地上战斗。【关于游戏】Grimvalor是一个具有挑战性的黑客和斜线平台游戏，在黑暗的幻想世界中进行快节奏的战斗。为了恢复腐败的境界，控制一个孤独的战士。在大规模故事驱动的高级体验中踏上大气景观和地牢之旅。【战斗与探索】掌握基于技能的战斗，学习敌人的模式，并用你的愤怒把它们击倒。探索Vallaris破碎的土地，找到并升级设备并提升角色。面对King Valor疯狂的遗产并占上风！【游戏特色】•史诗般的BOSS战斗。•金属图形加速令人惊叹的3D视觉效果。•准确且可定制的触摸控制。•全面支持MFi游戏控制器。•使用iCloud保持设备之间的保存同步。•没有广告或应用内购买。
怪物猎人物语,"开发：CAPCOM CO., LTD. | 网络：单机 | 类型：角色扮演",,"【iOS版注意事项】本游戏需要日区帐号才能下载安装。【游戏介绍】《怪物猎人物语》是由CAPCOM CO., LTD.出品的一款角色扮演游戏。作为一款Q版的《怪物猎人》系列游戏，本作主打养成与对战系统。游戏讲述怪物与猎人之间的羁绊，保留了系列的世界观。游戏中玩家可以从蛋中孵化不同的怪物作为自己的同伴一起战斗，战斗采用的是回合指令制，玩家可以更换不同的怪物上场，也可以骑乘到它们身上发动帅气且魄力的合体必杀技。"
天华百剑：斩,开发：DeNA | 网络：网游 | 类型：角色扮演,二次元,【iOS版注意事项】本游戏需要港区帐号才能下载安装。【游戏介绍】《天华百剑：斩》是由DeNA与日本角川联合出品的一款角色扮演游戏，改编自连载于《电击G's Magazine》的人气同名漫画。故事背景描述有着少女模样的刀剑「巫剑」，与使用这些刀剑的「巫剑使者」们，如何对抗各种异形魔物的壮阔冒险故事。玩家们在游戏中将以一名新赴任的「队长」身分，操作这些被称为「巫剑」的刀剑少女们在战场上驱使各种奥义与斩击招式来对抗这些被称为「祸凭」的强敌怪物，展开一连串迥异于漫画版原作的壮阔冒险之旅！
恐怖僵尸之夜,开发：Plug in Digital | 网络：单机 | 类型：策略游戏,"惊悚恐怖,科幻",这款游戏的玩法非常新颖，注重策略，像素画风别具一格，还透着一丝独立游戏的癫狂。 我们出了 PC 版本，现在又上了移动端版本！指挥尸群：僵尸不会罢工，也不会抱怨，只会老老实实地服从你的每一条命令……不过有一点不好——没人跟你聊深夜电影或者有意思的书了！感染：想扩充尸军？那就感染一些人类吧！不需要鲜花，不需要魅力，只要让僵尸往人类脖子上咬一口（其实想咬哪儿都成），人类就会加入你的僵尸大军！独特的变异系统：充分利用变异系统，生成强大的新型僵尸，全面突破敌人的防线。变异联动系统：你可以随意同时动用多种变异，看看不同变异的联动效果。教教那些难缠的人类，究竟怎么样才叫好玩！环境元素可以破坏：尸瘟大爆发之后，人类喜欢玩捉迷藏。可是，僵尸太久闻不到人肉的气味，便会饿到发狂。你才没心思跟人类玩这种孩子气的游戏。记得利用僵尸的这一特点，指挥尸群摧毁人类的游乐场，播撒恐惧。
贪婪洞窟2,开发：Avalon | 网络：网游 | 类型：角色扮演,"奇幻,生存,国产,Roguelike",《贪婪洞窟2》是由《贪婪洞窟》原班人马打造、能组队的克苏鲁风Roguelike手游。充满未知的异世界大门已经打开，来自各地的探险家在这集结，他们组成小队，蜂拥进入异界之门。但大部分探险者迷失在这充满黑暗迷糊的随机世界之中——每次进入新的空间，大地波动，陷阱、密室、宝箱就会移位；珍奇的财宝有邪恶的魔物看守，想夺得宝藏就得付出血的代价；魔法卷轴是唯一逃脱异界的物品，但它十分稀有，往往废墟瓦砾中存有它的线索。这一次，你能带着宝藏活着逃出来吗？【官方网站】http://cave2.leiting.com
CSR赛车2,开发：NaturalMotion | 网络：单机 | 类型：赛车竞速,"3D,硬件杀手",【安卓版注意事项】游戏需要Google Play支持，如遇弹窗点返回键即可。【游戏介绍】《CSR赛车2》是一款由NaturalMotion开发的人气竞速大作，本作为《CSR赛车》的续作。游戏的画面十分出众，车辆建模相当细致，而且游戏开放更多的个性化定制，真正实现玩家自己设计制造爱车的愿望，玩家可以由内而外、从喷漆拉花到制动卡钳都按照自己的喜好来选择搭配，打造一辆独一无二的专属座驾。为了真实还原现实中跑车的外观和内部细节，《CSR赛车2》开发商还与法拉利、兰博基尼、迈凯伦、帕加尼等知名汽车大厂展开合作，为玩家打造最真实震撼的游戏体验。
探灵,开发：Phoenix studio | 网络：单机 | 类型：冒险,"文字,惊悚恐怖",《探灵》是由吉游社发行、Phoenix Studio制作的灵异向互动剧情手游，全系列共四个故事，目前更新至第二个故事《夜嫁》。玩家将在每个故事中扮演不同角色，以选项决策剧情走向，探寻灵异故事背后的真相。《探灵》四部曲之二——《夜嫁》本作故事设定发生于第一部《罗盘》人气角色天下（“胸不平何以平天下”）参加神秘探险小队之前。【剧情简介】林凌和王觉是一个初创视频工作室成员，一次偶然的机会，他们拍摄到了神秘的红衣鬼影。视频上传网络后一夜爆红，而鬼影也随之缠上了他们。同时找上门的还有邀请他们拍摄民俗宣传片的山村老板大金，以及表明熟悉红衣女鬼的年轻女孩天下。为了探查真相，一行人前往山中小村拍摄民俗宣传片，然而更为诡异的事情在接下来才刚刚开始……【游戏特色】灵异探险延续——探寻神秘的民间风俗仪式“夜嫁”剧情走向决策——故意作死未必会死，小心翼翼也可能转头就要读档重来随机幸运事件——完美结局需要智慧，更需要运气信任羁绊养成——获得天下的信任，和她一起找寻真相
闪乱神乐忍者大师NEW LINK,开发：Marvelous | 网络：单机 | 类型：角色扮演,"3D,美少女,二次元",【iOS版注意事项】本游戏需要港区帐号才能下载安装。【游戏介绍】源自日本《闪乱》系列的《忍者大师 闪乱神乐 NEW LINK》(以下简称《闪乱》)，拥有丰富的卡片元素，在游戏中需要玩家化身培育老师，调教胸怀大志的忍者少女们，争夺忍界最高荣誉，展开波涛汹涌激斗！ 《闪乱》繁中版为欢庆双平台上线，即日起推出一系列迎新活动，首发更祭出【期间限定】泳池畔的忍者特训活动，绅士们现在就入列吧！【游戏特色】◆ 用爱养育最凶女忍发挥绅士精神，修练最强称号「忍者大师」的五人战队！◆ 操作简单 一指施放超凶忍术女忍间彼此可触发NEW LINK技能，美与爆裂的战斗攻击好舒压！◆ 私密更衣室 随心所欲变装你的少女女仆、女拉拉队长、比基尼······上百款服饰配件任你更换，增温女忍与你的情感
放置怪物工厂,开发：BoomBit Games | 网络：单机 | 类型：策略经营,"放置,模拟",在忘却了恐惧的世界，人类开始变得无所顾忌。这个星球需要一个新的英雄，一位再次给世界带来秩序的闲置战士！他们说你是个科学狂人，但谁又在乎呢。现在，（以最风趣的方式）吓死全世界的小朋友成了你的使命！你必须：让你的小卒穿越时空，从过去取回最可怕的物品！用逗人的机器提取制造恐惧所需的药液。将这种液体用于大规模的工业生产，把可爱的小动物们变成恐怖的怪物！你将从一条生产线开始，随后逐步扩张工厂，建立令人闻风丧胆的怪物帝国！得益于你的经理才能，孩子们的卧室里将再次充满恐惧与泪水！【游戏玩法】- 建造新传送口- 升级传送口，提取更可怕的物品- 升级小卒，增加提取恐惧药液的效率- 用怪物机器超负荷生产- 提升怪物的力量，生产更多药液- 平衡你的资源，制霸怪物生产- 解锁新物品，游戏几乎无止境- 升级生产线，生产新怪物- 收集皇冠，提升经理的能力- 见证你的恐惧帝国日益壮大！
极品飞车17：最高通缉,开发：Electronic Arts | 网络：单机 | 类型：赛车竞速,"重力感应,3D","【安卓版注意事项】游戏会根据机型下载2G左右的数据，请保持网络畅通。【iOS版注意事项】本作需要美区账号才能下载安装。【游戏介绍】《极品飞车17：最高通缉》（又称为 《极品飞车：无间追踪》）是美国艺电推出的《极品飞车》系列赛车游戏之一，本作结合了竞速、逃避警方追捕、子弹时间，以及车辆改装等特色，使玩家成为最凶悍的亡命街头赛车手，在游戏中，玩家们能够自由地驾车行驶到任何他们想去的地方，发现隐藏的比赛，击败各路敌手，挑战朋友或和警察上演一场猫捉老鼠的游戏。玩家们所作的一切都是为一个最终目标服务，那就是成为""最高通缉单""上的第一名。"
模拟农场20,开发：GIANTS Software | 网络：单机 | 类型：策略经营,"模拟,高画质",一脚踏进《模拟农场20》精彩无比的农耕世界！收割各种作物、照顾牛羊猪等牲畜，现在还有全新玩法可以骑马探索田地周围的广大土地。到热闹的市场贩售您的作物，赚来的钱可拿来额外投资机具和扩大农场。在《模拟农场20》中，您可以操控超过100种忠实呈现市售领导品牌的机具和工具。这次还首次在行动平台上引进包括全球最大农具公司John Deere。还可驾驶其他如Case IH、New Holland、Challenger、Fendt、Massey Ferguson、Valtra、Krone、Deutz-Fahr 等知名农具品牌。《模拟农场20》导入全新的北美农耕环境供您发展和拓展您的土地。还有很多好玩的农耕活动，包栝全新机具和棉花和燕麦等作物。《模拟农场20》的特点包括：可使用超过100种各大知名农具商的拟真机具和工具可种植和收割各种作物：小麦、大麦、燕麦、油菜、太阳花、大豆、玉米、马铃薯甜菜和棉花可喂养牛羊来生产和贩卖牛奶和羊毛照顾马匹，并可骑马恣意探索农田周围的世界全新3D绘图技术呈现农具更多细节，以及北美土地之美驾驶座视角可让您用更逼真的方式驾驶机具
地毯式轰炸,开发：Synthetic Mind | 网络：单机 | 类型：射击,,有趣的轰炸机游戏！驾驶飞机与敌人交战！可以与多种类型的敌人作战：士兵，坦克，直升机，飞机等等！收集动力道具，增强飞机的游戏能力。在每个关卡之间升级你的战斗机！在越来越难的关卡中测试您的飞行技巧！驾驶喷气式战斗机，参与这个伟大的复古街机大战！
黎明杀机,开发：Behaviour Interactive | 网络：单机 | 类型：动作,"惊悚恐怖,高画质",【安卓版注意事项】本作需要使用加速器才能开始游戏。【iOS版注意事项】本游戏需要美区帐号才能下载安装。【游戏介绍】《黎明杀机》是一款多人(4V1) 恐怖生存游戏。游戏由其中一人扮演野蛮杀手，另外四人扮演逃生者。逃生者们将试图从野蛮杀手手中奋力逃脱，从而让自己免去被残忍折磨并杀害的危险。逃生者们将以第三视角进行游戏，其优势在于对周围环境拥有更开阔的视野。而杀手则将以第一视角进行游戏并且更着眼于眼前的猎物。逃生者的目标固然就是在不被杀手抓到的情况下安全的逃离杀戮场——不过相信我，这件事做起来真的没有听上去这么容易，特别是每当周围环境有所变化的时候。
去月球HD重制版,开发：Freebird Games | 网络：单机 | 类型：角色扮演,像素,《去月球》是一款加拿大华裔制作人Kan Gao和他的独立游戏开发团Freebird Games在2011年9月制作并发行的PC平台RPG游戏。本作在经过高清处理和UI内容设计后，定名为《去月球HD重制版》。本作在2017年初登陆移动平台，由心动网络发行。游戏故事发生在委托人约翰尼的记忆里；约翰尼的哥哥死于一场意外的车祸，小时候的约翰尼便认识了莉娃，并约定如果第二年不能相见便到月球上相会······
斩兽之刃,开发：七创社 | 网络：网游 | 类型：卡牌,"二次元,改编,国产,回合制",同名动画改编正版手游「斩兽之刃」！为了让光明照亮永冬大地，秘密小队「斩兽之刃」不知疲倦地奔走，却意外发现，家园陷入永夜的背后，竟存在着一个惊为天人的阴谋。◆ 背景 ◆遥远的伊利亚斯大陆上，两大人类王国“永冬”和“亚萨”维持了千年之久的和平突然被打破。为了维持世界核心的稳定，每隔7年双方国王会携带各自的神赐至宝会盟举行“昼夜祭”。贪婪的亚萨国王为了独占至宝，悍然杀死了永冬国王，使得永冬王国陷入了永久的黑暗。为了拯救危在旦夕的永冬王国，有一群人立下誓言，誓要掀起一场腥风血雨的复国行动。◆ 玩法 ◆*在不同主题的剧情关卡中，收集各种卡牌，打造强力卡组，过关斩将*经营自己的领地，灵活布置防守阵型和守卫，让各路对手碰一鼻子灰*在无尽试炼中步步为营，克服种种不利因素，打造最强势的通关英雄*分享你的通关卡组，参与讨论套牌构建，碰撞出千奇百怪的组卡思路*限时开启竞技场，与全球玩家实时对战，发现更多乐趣◆ 特色 ◆*三大职业+六名英雄，丰富不设限的卡组构建策略*功能各异的领地建筑，带来塔防与DBG的精彩对决*收录超200张精美卡牌，鉴赏家、战力党都爱集卡*单指竖屏，不同以往卡牌游戏的惊艳战斗表现*动画主角悉数登场，更有神秘角色跨时空加盟◆ 关注我们 ◆官网网址：https://zszr.7doc.com.cn/官方微信：斩兽之刃官方微博：斩兽之刃Bilibili：斩兽之刃客服QQ群：869373084客服邮箱：zszr@7doc.cn
世界奇观建造者,开发：Homa Games | 网络：单机 | 类型：策略经营,"模拟,放置",雇用工人并重建世界的地标！访问埃及并重建金字塔和Synx。参观法国并重建埃菲尔铁塔。参观美国并重建自由女神像。
饥荒：海难,开发：Klei Entertainment | 网络：单机 | 类型：冒险,生存,Klei Entertainment与《超级兄弟：剑与巫术》、《超时空战队》和《Below》（深入地下）的开发商CAPY携手合作，为《饥荒》的粉丝们奉上最新的单人游戏资料片：《饥荒：海难》！在《饥荒：海难》中，威尔逊发现自己被困在了一个热带群岛中。在全新的环境中，迎接他的是新的生物、生物群落及季节，他必须学会适应这一切才能逃出生天。千万不要因为热带微风的吹拂而萌生性命无忧的错觉，形势可能急转直下，但这依然是残酷的环境与玩家的不妥协之间的一场较量。你很快便会发现，岛屿上充满凶险，杀机四伏。【游戏特色】在茫茫大海中前行：打造一艘船，然后扬帆开启探险之旅！探索新世界：世界大不同。探索充满着新资源的全新生物群落。搜寻新的食物来源。利用众多新生物维生。应对全新的季节挑战：热带地区的一系列季节挑战势要将你置于死地。打造全新配方：打造一系列新工具，努力克服岛上的恶劣环境而生存下去。
正当防卫3：滑翔旅行,开发：Square Enix | 网络：单机 | 类型：动作,3D,【安卓版注意事项】本作需要数据包才能开始游戏。【iOS版注意事项】本游戏需要美区帐号才能下载安装。【游戏介绍】《正当防卫3：滑翔旅行》是一款由Square Enix开发的能够让你通过独特视角提前体验游戏大作《正当防卫3》美丽场景的客户端。使用滑翔衣从空中鸟瞰地中海风格的整个岛屿群，支持360度VR视角展示，让你体验一场惊心动魄的滑翔旅程。
